1.015;-3.90625e-05;2.89243
2.01743;-3.90625e-05;2.95922
3.05194;-3.90625e-05;3.16307
4.10663;0;3.75626
5.13205;0.000351562;4.17813
6.18544;0.000820312;4.54904
7.18762;0.00132813;4.9878
8.20139;0.00179687;5.47199
9.21232;0.00222656;5.97836
10.3084;0.00265625;6.41296
11.3798;0.00304687;6.85782
12.4798;0.0034375;6.88579
13.519;0.00386719;7.39736
14.6395;0.00460937;8.01297
15.7004;0.00519531;8.4255
16.8203;0.00585938;8.93101
17.8469;0.00640625;9.25475
18.9157;0.00695312;9.62477
20.0257;0.0075;9.98478
21.1757;0.00832031;10.388
22.1926;0.00902344;10.6303
23.2377;0.00972656;10.9188
24.3103;0.0104297;11.2018
25.4099;0.0111328;11.4749
26.5349;0.0119922;11.7772
27.6843;0.0129687;11.9779
28.8565;0.0139062;12.2496
30.0506;0.0148437;12.4326
31.0622;0.015625;12.6186
32.0885;0.0164453;12.8316
33.128;0.0174219;12.9828
34.1761;0.0183984;13.0028
35.2234;0.019375;12.9876
36.266;0.0203516;12.8703
37.2957;0.0213281;12.6973
38.3158;0.0223047;12.5996
39.3296;0.0232813;12.5492
40.3402;0.0242578;12.5258
41.3507;0.0252344;12.5337
42.3634;0.0262109;12.5833
43.3801;0.0271875;12.6465
44.4026;0.0281641;12.7245
45.4319;0.0291406;12.7993
46.4693;0.0302734;12.9061
47.5092;0.0314453;12.8914
48.548;0.0326172;12.9322
49.6001;0.0337891;13.1449
50.6737;0.0349609;13.41
51.7682;0.0361328;13.6704
52.8834;0.0374609;13.9264
54.0189;0.0388281;14.1782
55.1744;0.0401953;14.4258
56.3497;0.0415625;14.7214
57.5445;0.0430469;14.9608
58.7584;0.0446094;15.1463
59.9912;0.0461719;15.4296
61.2415;0.0477734;15.5597
62.2443;0.0490234;15.5472
63.2463;0.0502734;15.5848
64.2568;0.0516016;15.7895
65.2804;0.0530078;15.9906
66.3169;0.0544141;16.187
67.3658;0.0558203;16.3787
68.4269;0.0572266;16.5659
69.4999;0.05875;16.7489
70.5847;0.0603125;16.8796
71.6808;0.061875;17.0556
72.7882;0.0634375;17.2745
73.9065;0.0650391;17.3968
75.0356;0.0667578;17.5624
76.1752;0.0684766;17.7694
77.3252;0.0701953;17.9285
78.4854;0.0719141;18.085
79.6557;0.07375;18.1966
80.8358;0.075625;18.3911
82.0257;0.0775;18.5409
83.2252;0.079375;18.6888
84.4342;0.08125;18.8307
85.6526;0.0831641;18.9795
86.8802;0.0851953;19.1226
88.1171;0.0872266;19.2642
89.3631;0.0892578;19.4044
90.6181;0.0912891;19.5426
91.883;0.0933594;19.64
93.1555;0.0955469;19.7742
94.4366;0.0977344;19.9442
95.7263;0.0999219;20.0749
97.0243;0.102109;20.2039
98.3305;0.104297;20.3311
99.645;0.106641;20.4568
100.968;0.108984;20.5458
102.298;0.111328;20.7043
103.301;0.113125;20.7955
104.309;0.114961;20.8503
105.32;0.116836;20.9727
106.336;0.118711;21.0603
107.356;0.120586;21.142
108.381;0.122461;21.1984
109.409;0.124336;21.2807
110.442;0.126289;21.3615
111.478;0.128281;21.4399
112.518;0.130273;21.5466
113.561;0.132266;21.5916
114.608;0.134258;21.6642
115.659;0.13625;21.7351
116.713;0.138242;21.8326
117.77;0.140312;21.8724
118.83;0.142422;21.9386
119.894;0.144531;22.0046
120.961;0.146641;22.0709
122.031;0.14875;22.1379
123.104;0.150859;22.2311
124.181;0.153047;22.2961
125.261;0.155273;22.3615
126.343;0.1575;22.4001
127.429;0.159727;22.4916
128.518;0.161992;22.5559
129.611;0.164219;22.5936
130.706;0.166562;22.6839
131.804;0.168906;22.7481
132.906;0.17125;22.786
134.011;0.173594;22.8771
135.118;0.175937;22.9152
136.229;0.178281;23.0075
137.343;0.180703;23.0465
138.461;0.183164;23.1402
139.581;0.185625;23.1794
140.705;0.188086;23.2744
141.832;0.190547;23.303
142.959;0.193008;23.2923
144.086;0.195469;23.2801
145.211;0.19793;23.2634
146.34;0.200508;23.3891
147.473;0.203086;23.4473
148.611;0.205664;23.5765
149.753;0.208242;23.6317
150.9;0.21082;23.7556
152.051;0.213477;23.8082
153.205;0.216172;23.8939
154.364;0.218906;24.0113
155.527;0.221602;24.0937
156.694;0.224336;24.1423
157.865;0.227148;24.2545
159.04;0.229961;24.3014
160.218;0.232773;24.4099
161.4;0.235586;24.486
162.586;0.238398;24.5303
163.775;0.241289;24.6039
164.968;0.244219;24.7046
166.164;0.247148;24.7452
167.364;0.250078;24.8138
168.567;0.253008;24.9105
169.773;0.255937;24.9501
170.982;0.258945;25.0444
172.195;0.261992;25.109
173.411;0.265039;25.1724
174.629;0.268086;25.236
175.851;0.271133;25.2992
177.076;0.274258;25.3611
178.304;0.277422;25.3961
179.535;0.280586;25.4573
180.769;0.28375;25.5192
182.006;0.286914;25.5818
183.245;0.290195;25.6709
184.488;0.293477;25.733
185.734;0.296758;25.7683
186.983;0.300039;25.8301
188.235;0.30332;25.8914
189.49;0.306641;25.9526
190.747;0.310039;26.0403
192.008;0.313437;26.1021
193.272;0.316836;26.1646
194.539;0.320234;26.2272
195.808;0.323633;26.284
197.081;0.327109;26.3534
198.357;0.330625;26.4169
199.636;0.334141;26.4808
200.918;0.337656;26.5176
202.204;0.341172;26.5818
203.492;0.344805;26.646
204.783;0.348437;26.7103
206.078;0.35207;26.7748
207.375;0.355703;26.8671
208.676;0.359414;26.9316
209.98;0.363203;26.9683
211.287;0.366953;27.0329
212.597;0.370703;27.0976
213.911;0.374453;27.1619
215.227;0.37832;27.2261
